23, 5, 2716, ft/s   
----,----,----,---- 
Series,24, Shots:, 5
Min,2727, Max,2753  
Avg,2741 ,S-D,11.6  
ES ,  26

Series,Shot,Speed   
24, 1, 2732, ft/s   
24, 2, 2751, ft/s   
24, 3, 2746, ft/s   
24, 4, 2753, ft/s   
24, 5, 2727, ft/s   
----,----,----,---- 
Series,25, Shots:, 5
Min,2761, Max,2799  
Avg,2778 ,S-D,16.4  
ES ,  38

Series,Shot,Speed   
25, 1, 2781, ft/s   
25, 2, 2799, ft/s   
25, 3, 2761, ft/s   
25, 4, 2789, ft/s   
25, 5, 2763, ft/s   
----,----,----,---- 
Series,26, Shots:,10
Min,2712, Max,2750  
Avg,2730 ,S-D,12.5  
ES ,  38

Series,Shot,Speed   
26, 1, 2723, ft/s   
26, 2, 2741, ft/s   
26, 3, 2727, ft/s   
26, 4, 2742, ft/s   
26, 5, 2743, ft/s   
26, 6, 2723, ft/s   
26, 7, 2712, ft/s   
26, 8, 2750, ft/s   
26, 9, 2720, ft/s   
26,10, 2722, ft/s   
----,----,----,---- 
Series,27, Shots:, 5
Min,2479, Max,2570  
Avg,2525 ,S-D,33.6  
ES ,  91

Series,Shot,Speed   
27, 1, 2515, ft/s   
27, 2, 2479, ft/s   
27, 3, 2541, ft/s   
27, 4, 2520, ft/s   
27, 5, 2570, ft/s   
----,----,----,---- 
Series,28, Shots:, 5
Min,2596, Max,2617  
Avg,2610 ,S-D, 8.6  
ES ,  21

Series,Shot,Speed   
28, 1, 2596, ft/s   
28, 2, 2608, ft/s   
28, 3, 2617, ft/s   
28, 4, 2614, ft/s   
28, 5, 2616, ft/s   
----,----,----,---- 
Series,29, Shots:, 5
Min,2745, Max,2820  
Avg,2770 ,S-D,33.0  
ES ,  75

Series,Shot,Speed   
29, 1, 2820, ft/s   
29, 2, 2745, ft/s   
29, 3, 2750, ft/s   
29, 4, 2748, ft/s   
29, 5, 2789, ft/s   
----,----,----,---- 
Series,30, Shots:, 6
Min,2548, Max,2603  
Avg,2575 ,S-D,22.5  
ES ,  55

Series,Shot,Speed   
30, 1, 2548, ft/s   
30, 2, 2603, ft/s   
30, 3, 2551, ft/s   
30, 4, 2594, ft/s   
30, 5, 2573, ft/s   
30, 6, 2584, ft/s   
----,----,----,---- 
Series,31, Shots:,10
Min,2674, Max,2709  
Avg,2700 ,S-D,10.2  
ES ,  35

Series,Shot,Speed   
31, 1, 2674, ft/s   
31, 2, 2695, ft/s   
31, 3, 2706, ft/s   
31, 4, 2702, ft/s   
31, 5, 2702, ft/s   
31, 6, 2697, ft/s   
31, 7, 2704, ft/s   
31, 8, 2706, ft/s   
31, 9, 2709, ft/s   
31,10, 2708, ft/s   
----,----,----,---- 
Series,32, Shots:,10
Min,2700, Max,2740  
Avg,2717 ,S-D,12.2  
ES ,  40

Series,Shot,Speed   
32, 1, 2740, ft/s   
32, 2, 2700, ft/s   
32, 3, 2716, ft/s   
32, 4, 2703, ft/s   
32, 5, 2707, ft/s   
32, 6, 2714, ft/s   
32, 7, 2718, ft/s   
32, 8, 2730, ft/s   
32, 9, 2724, ft/s   
32,10, 2720, ft/s   
----,----,----,---- 
Series,33, Shots:,25
Min,2733, Max,2769  
Avg,2748 ,S-D, 9.4  
ES ,  36

Series,Shot,Speed   
33, 1, 2753, ft/s   
33, 2, 2745, ft/s   
33, 3, 2735, ft/s   
33, 4, 2751, ft/s   
33, 5, 2735, ft/s   
33, 6, 2768, ft/s   
33, 7, 2756, ft/s   
33, 8, 2735, ft/s   
33, 9, 2754, ft/s   
33,10, 2735, ft/s   
33,11, 2748, ft/s   
33,12, 2757, ft/s   
33,13, 2733, ft/s   
33,14, 2752, ft/s   
33,15, 2769, ft/s   
33,16, 2755, ft/s   
33,17, 2750, ft/s   
33,18, 2744, ft/s   
33,19, 2746, ft/s   
33,20, 2742, ft/s   
33,21, 2743, ft/s   
33,22, 2753, ft/s   
33,23, 2749, ft/s   
33,24, 2751, ft/s   
33,25, 2746, ft/s   
----,----,----,---- 
Series, 1, Shots:,10
Min,2765, Max,2817  
Avg,2791 ,S-D,14.6  
ES ,  52

Series,Shot,Speed   
 1, 1, 2798, ft/s   
 1, 2, 2795, ft/s   
 1, 3, 2817, ft/s   
 1, 4, 2785, ft/s   
 1, 5, 2765, ft/s   
 1, 6, 2785, ft/s   
 1, 7, 2790, ft/s   
 1, 8, 2809, ft/s   
 1, 9, 2781, ft/s   
 1,10, 2787, ft/s   
----,----,----,---- 
Series, 2, Shots:, 3
Min,2773, Max,2781  
Avg,2777 ,S-D, 4.0  
ES ,   8

Series,Shot,Speed   
 2, 1, 2778, ft/s   
 2, 2, 2773, ft/s   
 2, 3, 2781, ft/s   
----,----,----,---- 
Series, 3, Shots:, 2
Min,2767, Max,2776  
Avg,2771 ,S-D, 6.4  
ES ,   9

Series,Shot,Speed   
 3, 1, 2776, ft/s   
 3, 2, 2767, ft/s   
----,----,----,---- 
Series, 4, Shots:,10
Min,2767, Max,2824  
Avg,2786 ,S-D,15.7  
ES ,  57

Series,Shot,Speed   
 4, 1, 2787, ft/s   
 4, 2, 2780, ft/s   
 4, 3, 2778, ft/s   
 4, 4, 2773, ft/s   
 4, 5, 2824, ft/s   
 4, 6, 2782, ft/s   
 4, 7, 2797, ft/s   
 4, 8, 2786, ft/s   
 4, 9, 2767, ft/s   
 4,10, 2791, ft/s   
----,----,----,---- 
Series, 5, Shots:,10
Min,2762, Max,2803  
Avg,2782 ,S-D,11.4  
ES ,  41

Series,Shot,Speed   
 5, 1, 2803, ft/s   
 5, 2, 2778, ft/s   
 5, 3, 2789, ft/s   
 5, 4, 2791, ft/s   
 5, 5, 2789, ft/s   
 5, 6, 2778, ft/s   
 5, 7, 2762, ft/s   
 5, 8, 2784, ft/s   
 5, 9, 2777, ft/s   
 5,10, 2772, ft/s   
----,----,----,---- 
Series, 6, Shots:, 1
Min,2767, Max,2767  
Avg,2767 ,S-D,   0  
ES ,   0

Series,Shot,Speed   
 6, 1, 2767, ft/s   
----,----,----,---- 
Series, 7, Shots:, 4
Min,2739, Max,2745  
Avg,2742 ,S-D, 2.6  
ES ,   6

Series,Shot,Speed   
