case_number,0x_weight,0x_length,0x_shoulder,0x_neck_thick,0x_neck_dia,0x_capacity,0x_resized_length,0x_resized_shoulder,1x_weight,1x_length,1x_shoulder,1x_neck_dia,1x_capacity,1x_resized_length,1x_resized_shoulder,2x_weight,2x_length,2x_shoulder,2x_neck_dia,2x_capacity,2x_resized_length,2x_resized_shoulder,3x_weight,3x_length,3x_shoulder,3x_neck_dia,3x_capacity,3x_resized_length,3x_resized_shoulder,3x_primer_depth,trim_weight,trim_length,trim_case_depth,trim_case_depth_redo,trim_case_depth_raw,trim_primer_depth,trim_primer_depth_redo,trim_primer_depth_raw,3x_case_head_length,3x_case_head_length_redo,3x_flash_hole_length,3x_flash_hole_length_redo,flip_weight,3x_clean_weight_g,3x_clean_weight,4x_length_mm,4x_length,4x_length_in,4x_shoulder_mm,4x_shoulder,4x_shoulder_in,4x_neck_dia_mm,4x_neck_dia,4x_weight_g,4x_weight,4x_weight_gr,4x_capacity,4x_resized_length_mm,4x_resized_length,4x_resized_shoulder_mm,4x_resized_shoulder,4x_case_head_length_mm,4x_flash_hole_length_mm,4x_case_head_length,4x_flash_hole_length
27,168.7800,1.9110,1.5535,0.1400,0.2900,,1.9110,1.5535,168.7380,1.9095,1.5590,0.2920,49.2400,1.9110,1.5535,,1.9110,1.5595,0.2920,,1.9130,1.5545,168.6610,1.9145,1.5595,0.2920,49.2740,1.9160,1.5560,0.1140,168.1514,1.9095,1.7315,1.7270,1.5510,0.1170,0.1215,1.9640,0.1780,0.1825,0.0610,0.0610,169.4323,10.9620,169.1700,48.5300,1.9106,1.9105,39.5300,1.5563,1.5565,7.4200,0.2921,10.9615,169.1623,169.1400,48.9750,48.5500,1.9114,39.5000,1.5551,55.4400,1.5500,2.1827,0.0610
28,169.3800,1.9105,1.5530,0.1400,0.2900,,1.9100,1.5535,169.3400,1.9095,1.5590,0.2920,49.1200,1.9100,1.5535,,1.9120,1.5600,0.2920,,1.9125,1.5550,169.2470,1.9145,1.5595,0.2920,49.2180,1.9155,1.5555,0.1145,168.5913,1.9100,1.7295,1.7280,1.5520,0.1175,0.1215,1.9645,0.1805,0.1820,0.0630,0.0605,169.2934,10.9500,168.9848,48.5000,1.9094,1.9095,39.5300,1.5563,1.5565,7.4200,0.2921,10.9480,168.9539,168.9600,49.0123,48.5400,1.9110,39.4900,1.5547,55.4000,1.5400,2.1811,0.0606
29,169.6000,1.9105,1.5540,0.1400,0.2900,,1.9105,1.5535,169.5560,1.9095,1.5590,0.2920,49.0900,1.9105,1.5535,,1.9120,1.5595,0.2925,,1.9130,1.5550,169.4630,1.9145,1.5595,0.2920,49.1620,1.9165,1.5550,0.1160,169.2703,1.9100,1.7285,1.7295,1.5535,0.1170,0.1220,1.9640,0.1815,0.1805,0.0645,0.0585,168.3983,10.9120,168.3983,48.4800,1.9087,1.9090,39.5300,1.5563,1.5565,7.4200,0.2921,10.9110,168.3829,168.4000,48.9936,48.5200,1.9102,39.4900,1.5547,55.3800,1.5200,2.1803,0.0598
30,169.1200,1.9110,1.5530,0.1400,0.2900,,1.9090,1.5535,169.1080,1.9095,1.5590,0.2920,49.0700,1.9090,1.5535,,1.9120,1.5595,0.2915,,1.9130,1.5545,169.0160,1.9150,1.5595,0.2920,49.1990,1.9170,1.5550,0.1160,169.1545,1.9100,1.7275,1.7295,1.5535,0.1170,0.1220,1.9640,0.1825,0.1805,0.0655,0.0585,168.8613,10.9130,168.4138,48.4900,1.9091,1.9090,39.5300,1.5563,1.5565,7.4200,0.2921,10.9155,168.4524,168.4600,49.0496,48.5200,1.9102,39.4800,1.5543,55.3800,1.5200,2.1803,0.0598
31,168.9400,1.9095,1.5535,0.1400,0.2900,,1.9125,1.5540,168.9230,1.9090,1.5590,0.2920,49.1200,1.9125,1.5540,,1.9120,1.5590,0.2920,,1.9135,1.5550,168.8300,1.9130,1.5600,0.2920,49.1800,1.9145,1.5550,0.1160,169.2163,1.9100,1.7280,1.7280,1.5520,0.1175,0.1215,1.9645,0.1820,0.1820,0.0645,0.0605,169.2626,10.9520,169.0156,48.5000,1.9094,1.9095,39.5300,1.5563,1.5565,7.4200,0.2921,10.9535,169.0388,169.0400,49.0310,48.5300,1.9106,39.4900,1.5547,55.4200,1.5400,2.1819,0.0606
32,168.7200,1.9115,1.5525,0.1400,0.2900,,1.9135,1.5540,168.7070,1.9110,1.5590,0.2920,49.2200,1.9135,1.5540,,1.9130,1.5595,0.2920,,1.9145,1.5550,168.6140,1.9150,1.5600,0.2925,49.1990,1.9170,1.5555,0.1160,169.0002,1.9105,1.7290,1.7270,1.5510,0.1175,0.1230,1.9635,0.1815,0.1835,0.0640,0.0605,169.1700,10.9540,169.0465,48.5200,1.9102,1.9100,39.5300,1.5563,1.5565,7.4200,0.2921,10.9535,169.0388,169.0400,48.9563,48.5500,1.9114,39.4900,1.5547,55.4100,1.5400,2.1815,0.0606
33,168.5600,1.9120,1.5530,0.1400,0.2900,,1.9105,1.5540,168.5370,1.9110,1.5595,0.2920,49.3500,1.9105,1.5540,,1.9145,1.5595,0.2920,,1.9160,1.5565,168.4520,1.9165,1.5600,0.2920,49.2920,1.9180,1.5555,0.1145,169.3706,1.9110,1.7300,1.7305,1.5545,0.1170,0.1230,1.9640,0.1810,0.1805,0.0640,0.0575,168.0588,10.8955,168.1437,48.5200,1.9102,1.9100,39.5200,1.5559,1.5565,7.4200,0.2921,10.8935,168.1128,168.1200,49.0123,48.5400,1.9110,39.4800,1.5543,55.3500,1.4900,2.1791,0.0587
34,169.3800,1.9110,1.5540,0.1400,0.2900,,1.9110,1.5540,169.3550,1.9095,1.5590,0.2920,49.0700,1.9110,1.5540,,1.9120,1.5595,0.2915,,1.9120,1.5570,169.2630,1.9140,1.5600,0.2920,49.1990,1.9140,1.5550,0.1150,169.1391,1.9105,1.7285,1.7300,1.5540,0.1170,0.1225,1.9640,0.1820,0.1805,0.0650,0.0580,169.5558,10.9090,168.3521,48.5000,1.9094,1.9095,39.5300,1.5563,1.5565,7.4200,0.2921,10.9085,168.3443,168.3400,49.1430,48.5300,1.9106,39.4900,1.5547,55.3700,1.5000,2.1799,0.0591
35,169.3600,1.9100,1.5540,0.1400,0.2900,,1.9120,1.5540,169.3400,1.9100,1.5585,0.2920,49.0700,1.9120,1.5540,,1.9110,1.5605,0.2920,,1.9125,1.5560,169.2320,1.9135,1.5605,0.2920,49.1620,1.9145,1.5555,0.1145,169.4323,1.9100,1.7275,1.7285,1.5525,0.1170,0.1220,1.9640,0.1825,0.1815,0.0655,0.0595,168.7996,10.9235,168.5758,48.5100,1.9098,1.9095,39.5300,1.5563,1.5565,7.4200,0.2921,10.9245,168.5913,168.6000,49.1057,48.5500,1.9114,39.4900,1.5547,55.4000,1.5400,2.1811,0.0606
36,169.4800,1.9100,1.5525,0.1400,0.2900,,1.9110,1.5535,169.4630,1.9095,1.5585,0.2920,49.0700,1.9110,1.5535,,1.9115,1.5605,0.2920,,1.9135,1.5575,169.3710,1.9130,1.5595,0.2920,49.1800,1.9140,1.5560,0.1160,168.4138,1.9100,1.7295,1.7280,1.5520,0.1170,0.1220,1.9640,0.1805,0.1820,0.0635,0.0600,168.9385,10.9600,169.1391,48.4800,1.9087,1.9085,39.5200,1.5559,1.5565,7.4200,0.2921,10.9595,169.1314,169.1400,48.9936,48.5200,1.9102,39.4800,1.5543,55.4000,1.5300,2.1811,0.0602
